Region,mean_unemployment,median_unemployment,min_unemployment,max_unemployment,std_unemployment,mean_employed,mean_labour_participation,observation_count,Rank
Tripura,28.350357142857142,27.31,14.71,43.64,6.05833523285488,717002.6428571428,61.82392857142857,28,1
Haryana,26.283214285714283,25.060000000000002,14.54,46.89,7.797118676542296,3557072.464285714,42.737142857142864,28,2
Jharkhand,20.585,17.285,5.01,70.17,16.674745930653692,4469240.428571428,41.67071428571428,28,3
Bihar,18.91821428571429,15.01,8.87,58.77,12.634987301162163,12366189.142857144,38.15392857142857,28,4
Himachal Pradesh,18.540357142857143,18.354999999999997,1.12,50.0,9.607612137198085,1059823.7142857143,44.222142857142856,28,5
Delhi,16.49535714285714,15.02,9.33,45.78,6.78817189274864,2627512.8571428573,38.92964285714286,28,6
Jammu & Kashmir,16.18857142857143,16.0,2.22,24.06,5.506308460043159,1799931.6666666667,41.03095238095238,21,7
Chandigarh,15.991666666666667,17.51,7.22,22.05,5.508220028174971,316831.25,39.336666666666666,12,8
Rajasthan,14.058214285714286,13.66,4.03,35.53,5.932577388530173,10041064.75,39.973214285714285,28,9
Uttar Pradesh,12.551428571428572,11.545,6.06,32.06,5.703357499971993,28094832.17857143,39.432500000000005,28,10
Punjab,12.031071428571428,11.08,1.13,40.59,6.928659930978966,4539362.0,41.138214285714284,28,11
Puducherry,10.215,1.2349999999999999,0.0,76.74,24.106816007096416,212278.07692307694,38.99269230769231,26,12
Kerala,10.123928571428573,7.635,4.11,30.28,6.899331335977269,4425899.5,34.86785714285714,28,13
Tamil Nadu,9.284285714285714,2.7800000000000002,0.89,53.19,14.45531670190525,12269546.75,40.87214285714286,28,14
Goa,9.274166666666668,6.33,0.0,25.2,7.0361778882687664,226308.33333333334,39.249583333333334,24,15
Chhattisgarh,9.240357142857144,8.265,0.0,27.07,5.810301504347995,4303498.571428572,42.81071428571429,28,16
West Bengal,8.124642857142858,7.13,3.78,18.43,3.8657149040735947,17198538.0,45.417500000000004,28,17
Telangana,7.737857142857143,5.775,1.35,36.57,8.544483755353664,7939662.75,53.0025,28,18
Maharashtra,7.5575,6.345,3.03,25.28,5.063917839863606,19990195.85714286,42.30321428571428,28,19
Andhra Pradesh,7.477142857142858,5.404999999999999,0.85,32.3,6.85207341269123,8154093.178571428,39.37571428571429,28,20
Madhya Pradesh,7.406428571428571,4.95,1.19,40.49,7.7577197939933615,11115484.32142857,38.82142857142857,28,21
Sikkim,7.249411764705882,5.77,0.0,20.45,5.790274681079728,106880.70588235294,46.07,17,22
Karnataka,6.676071428571428,3.7199999999999998,0.37,33.17,8.103508311692655,10667119.285714285,41.34535714285715,28,23
Gujarat,6.663928571428571,5.42,1.41,25.94,4.682052683176721,11402012.785714285,46.10107142857142,28,24
Uttarakhand,6.582962962962963,5.56,1.63,17.36,3.3213340864718974,1390228.111111111,33.775555555555556,27,25
Assam,6.428076923076923,5.4350000000000005,0.0,11.17,3.0082181027721635,5354772.153846154,44.86846153846154,26,26
Odisha,5.657857142857142,3.87,1.78,24.48,5.553891099869204,6545746.964285715,38.92642857142857,28,27
Meghalaya,4.7988888888888885,3.73,0.24,17.39,4.102672987337114,689736.8148148148,57.080740740740744,27,28
